Website Category,Customer_ID,Customer_Name,Customer_Street,Customer_City,Customer_State,Customer_ZIP,Customer_Country,Customer_URL,Retail Store,Catalog/Distributor,Online Retailer,General Retailer
Basic Crafts,101490,360 OFFICE SOLUTIONS,3676 Pierce Parkway,BILLINGS,MT,59106-3905,US,http://www.360-OS.com,x,x,x,
Bordette Borders,101490,360 OFFICE SOLUTIONS,3676 Pierce Parkway,BILLINGS,MT,59106-3905,US,http://www.360-OS.com,x,x,x,
Fadeless Paper,101490,360 OFFICE SOLUTIONS,3676 Pierce Parkway,BILLINGS,MT,59106-3905,US,http://www.360-OS.com,x,x,x,
Spectra Deluxe Bleeding Art Tissue,101490,360 OFFICE SOLUTIONS,3676 Pierce Parkway,BILLINGS,MT,59106-3905,US,http://www.360-OS.com,x,x,x,
Rainbow Colored Kraft Duo-Finish Rolls,101490,360 OFFICE SOLUTIONS,3676 Pierce Parkway,BILLINGS,MT,59106-3905,US,http://www.360-OS.com,x,x,x,
ArtKraft Duo-Finish Rolls,101490,360 OFFICE SOLUTIONS,3676 Pierce Parkway,BILLINGS,MT,59106-3905,US,http://www.360-OS.com,x,x,x,
Kraft Bags,101490,360 OFFICE SOLUTIONS,3676 Pierce Parkway,BILLINGS,MT,59106-3905,US,http://www.360-OS.com,x,x,x,
Sentence Strips/Flashcards/Index Cards,101490,360 OFFICE SOLUTIONS,3676 Pierce Parkway,BILLINGS,MT,59106-3905,US,http://www.360-OS.com,x,x,x,
Chart Tablets & Pads,101490,360 OFFICE SOLUTIONS,3676 Pierce Parkway,BILLINGS,MT,59106-3905,US,http://www.360-OS.com,x,x,x,
Art & Kraft Rolls,101490,360 OFFICE SOLUTIONS,3676 Pierce Parkway,BILLINGS,MT,59106-3905,US,http://www.360-OS.com,x,x,x,
Card Stock  ,101490,360 OFFICE SOLUTIONS,3676 Pierce Parkway,BILLINGS,MT,59106-3905,US,http://www.360-OS.com,x,x,x,
Tru-Ray Sulphite Construction Paper,101490,360 OFFICE SOLUTIONS,3676 Pierce Parkway,BILLINGS,MT,59106-3905,US,http://www.360-OS.com,x,x,x,
Riverside Groundwood Construction Paper,101490,360 OFFICE SOLUTIONS,3676 Pierce Parkway,BILLINGS,MT,59106-3905,US,http://www.360-OS.com,x,x,x,
Ruled Papers,101490,360 OFFICE SOLUTIONS,3676 Pierce Parkway,BILLINGS,MT,59106-3905,US,http://www.360-OS.com,x,x,x,
Composition Books,101490,360 OFFICE SOLUTIONS,3676 Pierce Parkway,BILLINGS,MT,59106-3905,US,http://www.360-OS.com,x,x,x,
Drawing Papers,101490,360 OFFICE SOLUTIONS,3676 Pierce Parkway,BILLINGS,MT,59106-3905,US,http://www.360-OS.com,x,x,x,
Juvenile Art Papers,101490,360 OFFICE SOLUTIONS,3676 Pierce Parkway,BILLINGS,MT,59106-3905,US,http://www.360-OS.com,x,x,x,
Presentation Boards & Accessories,101490,360 OFFICE SOLUTIONS,3676 Pierce Parkway,BILLINGS,MT,59106-3905,US,http://www.360-OS.com,x,x,x,
Student Art Papers,101490,360 OFFICE SOLUTIONS,3676 Pierce Parkway,BILLINGS,MT,59106-3905,US,http://www.360-OS.com,x,x,x,
Tagboard,101490,360 OFFICE SOLUTIONS,3676 Pierce Parkway,BILLINGS,MT,59106-3905,US,http://www.360-OS.com,x,x,x,
Railroad/Poster Board,101490,360 OFFICE SOLUTIONS,3676 Pierce Parkway,BILLINGS,MT,59106-3905,US,http://www.360-OS.com,x,x,x,
Foam Board,101490,360 OFFICE SOLUTIONS,3676 Pierce Parkway,BILLINGS,MT,59106-3905,US,http://www.360-OS.com,x,x,x,
SunWorks Groundwood Construction Paper,101490,360 OFFICE SOLUTIONS,3676 Pierce Parkway,BILLINGS,MT,59106-3905,US,http://www.360-OS.com,x,x,x,
Railroad/Poster Board,102721,99 CENTS ONLY STORES,,,,,US,http://www.99only.com,,,,x
Classroom Organization,100994,A & D BOOKSTORE & SUPPLY,2401 PARAMOUNT BLVD,AMARILLO,TX,79109,US,http://www.aanddeducation.com,x,,x,
Bordette Borders,100994,A & D BOOKSTORE & SUPPLY,2401 PARAMOUNT BLVD,AMARILLO,TX,79109,US,http://www.aanddeducation.com,x,,x,
Drawing Papers,100994,A & D BOOKSTORE & SUPPLY,2401 PARAMOUNT BLVD,AMARILLO,TX,79109,US,http://www.aanddeducation.com,x,,x,
Fadeless Paper,100994,A & D BOOKSTORE & SUPPLY,2401 PARAMOUNT BLVD,AMARILLO,TX,79109,US,http://www.aanddeducation.com,x,,x,
Spectra Deluxe Bleeding Art Tissue,100994,A & D BOOKSTORE & SUPPLY,2401 PARAMOUNT BLVD,AMARILLO,TX,79109,US,http://www.aanddeducation.com,x,,x,
ArtKraft Duo-Finish Rolls,100994,A & D BOOKSTORE & SUPPLY,2401 PARAMOUNT BLVD,AMARILLO,TX,79109,US,http://www.aanddeducation.com,x,,x,
Kraft Bags,100994,A & D BOOKSTORE & SUPPLY,2401 PARAMOUNT BLVD,AMARILLO,TX,79109,US,http://www.aanddeducation.com,x,,x,
Protecto Film,100994,A & D BOOKSTORE & SUPPLY,2401 PARAMOUNT BLVD,AMARILLO,TX,79109,US,http://www.aanddeducation.com,x,,x,
Sentence Strips/Flashcards/Index Cards,100994,A & D BOOKSTORE & SUPPLY,2401 PARAMOUNT BLVD,AMARILLO,TX,79109,US,http://www.aanddeducation.com,x,,x,
Chart Tablets & Pads,100994,A & D BOOKSTORE & SUPPLY,2401 PARAMOUNT BLVD,AMARILLO,TX,79109,US,http://www.aanddeducation.com,x,,x,
Card Stock  ,100994,A & D BOOKSTORE & SUPPLY,2401 PARAMOUNT BLVD,AMARILLO,TX,79109,US,http://www.aanddeducation.com,x,,x,
Tru-Ray Sulphite Construction Paper,100994,A & D BOOKSTORE & SUPPLY,2401 PARAMOUNT BLVD,AMARILLO,TX,79109,US,http://www.aanddeducation.com,x,,x,
Ruled Papers,100994,A & D BOOKSTORE & SUPPLY,2401 PARAMOUNT BLVD,AMARILLO,TX,79109,US,http://www.aanddeducation.com,x,,x,
Presentation Boards & Accessories,100994,A & D BOOKSTORE & SUPPLY,2401 PARAMOUNT BLVD,AMARILLO,TX,79109,US,http://www.aanddeducation.com,x,,x,
Railroad/Poster Board,100994,A & D BOOKSTORE & SUPPLY,2401 PARAMOUNT BLVD,AMARILLO,TX,79109,US,http://www.aanddeducation.com,x,,x,
Foam Board,100994,A & D BOOKSTORE & SUPPLY,2401 PARAMOUNT BLVD,AMARILLO,TX,79109,US,http://www.aanddeducation.com,x,,x,
Art & Kraft Rolls,100994,A & D BOOKSTORE & SUPPLY,2401 PARAMOUNT BLVD,AMARILLO,TX,79109,US,http://www.aanddeducation.com,x,,x,
SunWorks Groundwood Construction Paper,100994,A & D BOOKSTORE & SUPPLY,2401 PARAMOUNT BLVD,AMARILLO,TX,79109,US,http://www.aanddeducation.com,x,,x,
Classroom Organization,100670,A 2 Z EDUCATIONAL SUPPLIES,222 1st Street W #B,HUMBLE,TX,77338,US,http://www.a2zedsupplies.com,x,x,x,
Pocket Charts,100670,A 2 Z EDUCATIONAL SUPPLIES,222 1st Street W #B,HUMBLE,TX,77338,US,http://www.a2zedsupplies.com,x,x,x,
Chart Stands,100670,A 2 Z EDUCATIONAL SUPPLIES,222 1st Street W #B,HUMBLE,TX,77338,US,http://www.a2zedsupplies.com,x,x,x,
Basic Crafts,100670,A 2 Z EDUCATIONAL SUPPLIES,222 1st Street W #B,HUMBLE,TX,77338,US,http://www.a2zedsupplies.com,x,x,x,
Bordette Borders,100670,A 2 Z EDUCATIONAL SUPPLIES,222 1st Street W #B,HUMBLE,TX,77338,US,http://www.a2zedsupplies.com,x,x,x,
Educational Aids,100670,A 2 Z EDUCATIONAL SUPPLIES,222 1st Street W #B,HUMBLE,TX,77338,US,http://www.a2zedsupplies.com,x,x,x,
Letters,100670,A 2 Z EDUCATIONAL SUPPLIES,222 1st Street W #B,HUMBLE,TX,77338,US,http://www.a2zedsupplies.com,x,x,x,
Corobuff Corrugated Paper,100670,A 2 Z EDUCATIONAL SUPPLIES,222 1st Street W #B,HUMBLE,TX,77338,US,http://www.a2zedsupplies.com,x,x,x,
Fadeless Paper,100670,A 2 Z EDUCATIONAL SUPPLIES,222 1st Street W #B,HUMBLE,TX,77338,US,http://www.a2zedsupplies.com,x,x,x,
Spectra Deluxe Bleeding Art Tissue,100670,A 2 Z EDUCATIONAL SUPPLIES,222 1st Street W #B,HUMBLE,TX,77338,US,http://www.a2zedsupplies.com,x,x,x,
Rainbow Colored Kraft Duo-Finish Rolls,100670,A 2 Z EDUCATIONAL SUPPLIES,222 1st Street W #B,HUMBLE,TX,77338,US,http://www.a2zedsupplies.com,x,x,x,
